येस	य े स |
बताए	ब त ा ए |
सबधान	स ब ध ा न |
हिसाबे	ह ि स ा ब े |
किताब	क ि त ा ब |
हौ	ह ौ |
बस्तु	ब स ् त ु |
खोलु	ख ो ल ु |
नीतिक	न ी त ि क |
कीमती	क ी म त ी |
टुकड़ा	ट ु क ड़ ा |
शुद्धता	श ु द ् ध त ा |
बरकरार	ब र क र ा र |
सेम	स े म |
खाय	ख ा य |
दुर्घटनाक	द ु र ् घ ट न ा क |
अपंग	अ प ं ग |
ब्रोकरेज	ब ् र ो क र े ज |
फर्म	फ र ् म |
डीलर	ड ी ल र |
स्माल	स ् म ा ल |
एडमिनिस्टेशन	ए ड म ि न ि स ् ट े श न |
आँगन	आ ँ ग न |
आकर	आ क र |
कोटक	क ो ट क |
महिंद्रा	म ह ि ं द ् र ा |
तेसर	त े स र |
स्ट्रेच	स ् ट ् र े च |
प्लांट	प ् ल ा ं ट |
लैंडस्केप	ल ै ं ड स ् क े प |
आंध्र	आ ं ध ् र |
आवर्ती	आ व र ् त ी |
बदलि	ब द ल ि |
कॉमन	क ॉ म न |
निदेशक	न ि द े श क |
मंडलक	म ं ड ल क |
मतदान	म त द ा न |
पहिचान	प ह ि च ा न |
केलकैए	क े ल क ै ए |
प्रोसो	प ् र ो स ो |
बाजाराक	ब ा ज ा र ा क |
मनुक्ख	म न ु क ् ख |
चिड़ै	च ि ड़ ै |
पास	प ा स |
काटला	क ा ट ल ा |
सुखाइल	स ु ख ा इ ल |
मार्ट	म ा र ् ट |
रजिस्ट्रेशन	र ज ि स ् ट ् र े श न |
डायरेक्ट	ड ा य र े क ् ट |
राष्ट्रीयकृत	र ा ष ् ट ् र ी य क ृ त |
नई	न ई |
दिल्ली	द ि ल ् ल ी |
टैरिफ	ट ै र ि फ |
हिस्सा	ह ि स ् स ा |
पोर्टफोलियो	प ो र ् ट फ ो ल ि य ो |
प्राइमरी	प ् र ा इ म र ी |
सेकेंडरी	स े क े ं ड र ी |
बांटल	ब ा ं ट ल |
आवेदक	आ व े द क |
सिखाओल	स ि ख ा ओ ल |
दाता	द ा त ा |
दय	द य |
रबरक	र ब र क |
ठामठाम	ठ ा म ठ ा म |
यापन	य ा प न |
बेनामी	ब े न ा म ी |
सिंथेटिक	स ि ं थ े ट ि क |
राखअ	र ा ख अ |
दबाव	द ब ा व |
पीबा	प ी ब ा |
निसा	न ि स ा |
आपातकाल	आ प ा त क ा ल |
लाइसेंसक	ल ा इ स े ं स क |
सेमारनाशकक	स े म ा र न ा श क क |
भेलहि	भ े ल ह ि |
पहुँचल	प ह ु ँ च ल |
संकुचन	स ं क ु च न |
रिफ्लेशन	र ि फ ् ल े श न |
युवा	य ु व ा |
इस्लामिक	इ स ् ल ा म ि क |
जगत	ज ग त |
कला	क ल ा |
सहयता	स ह य त ा |
करौलक	क र ौ ल क |
घड़ियाल	घ ड़ ि य ा ल |
तस्करी	त स ् क र ी |
व्यष्टि	व ् य ष ् ट ि |
मोलास्कक	म ो ल ा स ् क क |
शंखक	श ं ख क |
निमंत्रित	न ि म ं त ् र ि त |
बकरीक	ब क र ी क |
निधिकरण	न ि ध ि क र ण |
सेंसरक	स े ं स र क |
इजरायल	इ ज र ा य ल |
परिवर्तनक	प र ि व र ् त न क |
भोजनालय	भ ो ज न ा ल य |
वन्य	व न ् य |
चाली	च ा ल ी |
कॉफ़ीक	क ॉ फ़ ी क |
जयबाक	ज य ब ा क |
राजगिरा	र ा ज ग ि र ा |
चुनलक	च ु न ल क |
थाईलैंड	थ ा ई ल ै ं ड |
कलाकृति	क ल ा क ृ त ि |
निकालबाक	न ि क ा ल ब ा क |
बंजारा	ब ं ज ा र ा |
प्रतियोगिता	प ् र त ि य ो ग ि त ा |
बढ़ा	ब ढ़ ा |
संशोधनक	स ं श ो ध न क |
राष्ट्रपति	र ा ष ् ट ् र प त ि |
सम्मानित	स म ् म ा न ि त |
घड़ियालक	घ ड़ ि य ा ल क |
पशुचारण	प श ु च ा र ण |
इंशोरेंसक	इ ं श ो र े ं स क |
फुफरीनाशक	फ ु फ र ी न ा श क |
खानाबदोश	ख ा न ा ब द ो श |
सफर	स फ र |
स्टूल	स ् ट ू ल |
पारिस्थितिकीय	प ा र ि स ् थ ि त ि क ी य |
बरमूडा	ब र म ू ड ा |
चलैत	च ल ै त |
दुध	द ु ध |
सप्लायर	स प ् ल ा य र |
मोबर	म ो ब र |
तरीकाक	त र ी क ा क |
सिकल	स ि क ल |
फिंगर	फ ि ं ग र |
चीजक	च ी ज क |
खरचाक	ख र च ा क |
बिजनेसक	ब ि ज न े स क |
सुधरब	स ु ध र ब |
सुचना	स ु च न ा |
दौन	द ौ न |
बीचक	ब ी च क |
क्रिप्टोमुद्रा	क ् र ि प ् ट ो म ु द ् र ा |
अब	अ ब |
सुथनी	स ु थ न ी |
भेजू	भ े ज ू |
सुनिश्चित	स ु न ि श ् च ि त |
शैवालक	श ै व ा ल क |
उर्वरता	उ र ् व र त ा |
कटाइक	क ट ा इ क |
बन्हाइ	ब न ् ह ा इ |
मोती	म ो त ी |
जाड़क	ज ा ड़ क |
सुनामी	स ु न ा म ी |
बाँसक	ब ा ँ स क |
हस्तकला	ह स ् त क ल ा |
आकर्षण	आ क र ् ष ण |
मारि	म ा र ि |
उत्सर्जन	उ त ् स र ् ज न |
देशी	द े श ी |
साँढ़	स ा ँ ढ़ |
पाल	प ा ल |
खुअयबाक	ख ु अ य ब ा क |
लीज	ल ी ज |
अधिकृत	अ ध ि क ृ त |
चिकित्सालय	च ि क ि त ् स ा ल य |
अनारक	अ न ा र क |
एखनो	ए ख न ो |
करयबाला	क र य ब ा ल ा |
होथि	ह ो थ ि |
जयंती	ज य ं त ी |
खर	ख र |
चीन्ह	च ी न ् ह |
उपटयबाक	उ प ट य ब ा क |
शिकंजी	श ि क ं ज ी |
मानैत	म ा न ै त |
पर्यात	प र ् य ा त |
बांग्लादेश	ब ा ं ग ् ल ा द े श |
निसाक	न ि स ा क |
कवकनाशक	क व क न ा श क |
सिंधु	स ि ं ध ु |
घाटी	घ ा ट ी |
खोज	ख ो ज |
ईस्ट	ई स ् ट |
कमरख	क म र ख |
महाजन	म ह ा ज न |
उठाओल	उ ठ ा ओ ल |
व्यर्थ	व ् य र ् थ |
खरीदलैन	ख र ी द ल ै न |
बारिश	ब ा र ि श |
गेंदा	ग े ं द ा |
लगतैक	ल ग त ै क |
चलबाक	च ल ब ा क |
रैकरिंग	र ै क र ि ं ग |
खोलबा	ख ो ल ब ा |
असामान्य	अ स ा म ा न ् य |
पहुँचै	प ह ु ँ च ै |
बाइढ़क	ब ा इ ढ़ क |
किराया	क ि र ा य ा |
नहीं	न ह ी ं |
अयला	अ य ल ा |
कर्मी	क र ् म ी |
बरसातमे	ब र स ा त म े |
डुबला	ड ु ब ल ा |
लोनमे	ल ो न म े |
छुटो	छ ु ट ो |
कुर्थी	क ु र ् थ ी |
भरबाक	भ र ब ा क |
प्रतिमास	प ् र त ि म ा स |
रहत	र ह त |
यार्ड	य ा र ् ड |
किनल	क ि न ल |
छोएड़	छ ो ए ड़ |
रत्नक	र त ् न क |
विकाशील	व ि क ा श ी ल |
खड़ी	ख ड़ ी |
एकहि	ए क ह ि |
कवचधारीनाशक	क व च ध ा र ी न ा श क |
पीपलक	प ी प ल क |
चिड़िया	च ि ड़ ि य ा |
गंध	ग ं ध |
छोड़ैत	छ ो ड़ ै त |
मध्याह्न	म ध ् य ा ह ् न |
आदिवासी	आ द ि व ा स ी |
व्यतीत	व ् य त ी त |
कार्यभार	क ा र ् य भ ा र |
अर्थशास्त्रक	अ र ् थ श ा स ् त ् र क |
ज्ञानक	ज ् ञ ा न क |
मूलधन	म ू ल ध न |
एकता	ए क त ा |
जीवनशैली	ज ी व न श ै ल ी |
बहत्तर	ब ह त ् त र |
बाली	ब ा ल ी |
वध	व ध |
सूखाड़क	स ू ख ा ड़ क |
देस	द े स |
अंकुराय	अ ं क ु र ा य |
पकड़यलाक	प क ड़ य ल ा क |
दण्डक	द ण ् ड क |
वनक	व न क |
समाप्ति	स म ा प ् त ि |
संतोला	स ं त ो ल ा |
अशोक	अ श ो क |
ऋणांकन	ऋ ण ा ं क न |
समष्टि	स म ष ् ट ि |
विलुप्त	व ि ल ु प ् त |
प्रभावी	प ् र भ ा व ी |
खेतिहरेक	ख े त ि ह र े क |
बल	ब ल |
अल्पकालिक	अ ल ् प क ा ल ि क |
अई	अ ई |
उज्जवला	उ ज ् ज व ल ा |
काफी	क ा फ ी |
चायपत्ती	च ा य प त ् त ी |
गुलाब	ग ु ल ा ब |
अपंगताक	अ प ं ग त ा क |
शरीरक	श र ी र क |
खोल	ख ो ल |
रेंग	र े ं ग |
तरबूजक	त र ब ू ज क |
दवाइ	द व ा इ |
पकाएल	प क ा ए ल |
उसनल	उ स न ल |
सेवानिवृत्ति	स े व ा न ि व ृ त ् त ि |
स्ट्राबेरी	स ् ट ् र ा ब े र ी |
